pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16081130090000,207 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35063,1512,23.19,Ridgeland,1900,41.89071554,-87.78191075
16083060150000,207 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",37970,1472,25.79,Ridgeland,1913,41.88489316,-87.78338391
16081140080000,208 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",50099,2084,24.04,Ridgeland,1897,41.89081624,-87.78112247
16083020230000,208 PLEASANT ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",37626,1680,22.4,Ridgeland,1914,41.88547608,-87.78020017
16083070040000,208 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",37973,1555,24.42,Ridgeland,1906,41.8848296,-87.78259958
16083080030000,208 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42595,2160,19.72,Ridgeland,1912,41.88485519,-87.78100719
16083060030000,208 S RIDGELAND AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40260,1998,20.15,Ridgeland,1907,41.8847907,-87.78430455
16083140370000,208 WASHINGTON BLVD,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",33254,1320,25.19,Ridgeland,1911,41.88202193,-87.78009715
16081140170000,209 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43370,2126,20.4,Ridgeland,1909,41.8908184,-87.78027325
16074080150000,209 S EAST AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44960,1954,23.01,Ridgeland,1891,41.88468023,-87.78985006
16074060110000,209 S EUCLID AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",52975,1862,28.45,Ridgeland,1889,41.88462654,-87.79313453
16083100130000,209 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39960,2112,18.92,Ridgeland,1904,41.88492739,-87.77679269
